stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,symbol,stock_name,area,industry,list_date
600519.SH,20250127,11704.9398,11761.713238,11623.648708,11688.567546,1436.0,-1.01,-0.0703,29356.46,4213534.543,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250205,11729.376,11753.8122,11421.561334,11434.51252,1434.99,-31.19,-2.1735,40756.52,5753730.034,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250206,11403.641454,11582.677346,11403.641454,11508.146936,1403.8,9.04,0.644,27355.82,3859568.163,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250207,11514.989072,11751.205672000002,11431.335814000002,11696.7944,1412.84,23.16,1.6393,37242.07,5310850.624,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250210,11713.085200000001,11729.376,11624.218886,11660.221554,1436.0,-4.49,-0.3127,20839.79,2988101.756,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250211,11688.241730000002,11696.468584,11533.071860000002,11550.1772,1431.51,-13.51,-0.9438,23572.83,3348668.867,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250212,11550.1772,11770.103000000001,11541.054352000001,11753.8122,1418.0,25.0,1.763,25475.79,3644170.477,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250213,11753.975108,12016.50135,11684.657754,11933.499724,1443.0,22.06,1.5288,43385.36,6335985.851,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250214,11933.499724,12030.7558,11877.785188000002,12014.465,1465.06,9.94,0.6785,27099.92,3978694.098,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250217,12063.3374,12177.210092000001,11950.11634,11986.933547999999,1475.0,-3.38,-0.2292,32470.59,4804663.813,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250218,11973.738000000001,12161.000746000002,11909.226432,12014.465,1471.62,3.38,0.2297,27799.92,4113845.397,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250219,12014.87227,12172.811576000002,11932.196460000001,12144.7914,1475.0,16.0,1.0847,32393.31,4803378.441,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250220,12079.628200000001,12152.692438,12001.350906000001,12006.3196,1491.0,-17.0,-1.1402,23749.73,3513552.984,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250221,12055.192000000001,12191.464542000002,11998.255654,12122.065734000002,1474.0,14.21,0.964,36417.83,5418169.587,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250224,12120.3552,12214.190208,12006.3196,12047.616778,1488.21,-9.14,-0.6142,34743.73,5157907.322,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250225,11973.819454,12001.350906000001,11827.1208,11843.411600000001,1479.07,-25.07,-1.695,28387.43,4142814.459,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250226,11855.222430000002,11932.685184000002,11770.103000000001,11892.365454,1454.0,6.01,0.4133,26366.09,3835949.041,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250227,11892.446908,12135.831460000001,11843.411600000001,12100.480424,1460.01,25.55,1.75,49762.17,7368002.361,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250228,12099.9917,12449.266452000002,12071.4828,12224.534866,1485.56,15.23,1.0252,56128.95,8475738.166,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250303,12239.27804,12389.071946,12067.410100000001,12112.372708,1500.79,-13.77,-0.9175,31595.66,4736679.903,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250304,12095.919,12104.064400000001,11934.721534,11974.633994,1487.02,-16.91,-1.1372,25211.21,3710675.863,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250305,11990.0288,12006.3196,11893.098539999999,11944.170198,1470.11,-3.74,-0.2544,24605.22,3606932.152,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250306,12006.3196,12301.18308,11990.680432,12266.809492,1466.37,39.61,2.7012,42167.64,6297117.4,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250307,12242.5362,12449.103544,12242.5362,12389.153400000001,1505.98,15.02,0.9974,37991.35,5760608.729,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250310,12379.460374,12437.048352000002,12268.112756000002,12404.62966,1521.0,1.9,0.1249,31369.07,4758789.26,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250311,12356.571800000002,12614.618072000001,12315.8448,12614.618072000001,1522.9,25.78,1.6928,39775.6,6094007.854,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250312,12600.607984,12622.763472,12432.73129,12564.931132,1548.68,-6.1,-0.3939,29603.96,4552923.644,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250313,12576.4976,12670.1697,12469.629952000001,12525.751758,1542.58,-4.81,-0.3118,25724.39,3966369.271,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250314,12606.309764000001,13260.792654,12552.0614,13260.792654,1537.77,90.24,5.8682,92913.15,14882842.708,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250317,13496.927800000001,13504.991746000002,13251.588352,13341.024844,1628.01,9.85,0.605,54689.13,8985138.902,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250318,13399.508816,13456.2008,13209.395180000001,13228.1296,1637.86,-13.86,-0.8462,31613.45,5153210.436,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250319,13230.491766000001,13423.619200000001,13219.9842,13323.512234000002,1624.0,11.71,0.7211,27389.55,4477128.77,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250320,13323.512234000002,13338.90704,12992.483178,13065.2216,1635.71,-31.71,-1.9386,36736.77,5903879.207,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250321,13024.4946,13132.01388,12778.747882,12818.823250000001,1604.0,-30.25,-1.8859,33614.3,5324973.19,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250324,12788.278,12948.416564000001,12726.210052000002,12894.1682,1573.75,9.25,0.5878,25565.85,4032223.482,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250325,12934.8952,12973.993120000001,12761.072364000001,12833.0777,1583.0,-7.5,-0.4738,17674.38,2783286.813,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250326,12810.840758,12890.747132,12796.423400000001,12837.1504,1575.5,0.5,0.0317,14323.56,2257639.75,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250327,12837.1504,13018.38555,12815.809452000001,12943.0406,1576.0,13.0,0.8249,17955.63,2848889.21,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250328,12958.761222000001,12975.6222,12837.1504,12912.169534,1589.0,-3.79,-0.2385,16227.89,2569470.015,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250331,12877.714492000001,12926.423984000001,12707.312724,12714.9694,1585.21,-24.21,-1.5272,21084.94,3311857.714,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250401,12739.4056,12787.382006000002,12643.371334000001,12674.405308000001,1561.0,-4.98,-0.319,18556.44,2893739.955,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250402,12690.5332,12770.35812,12588.7157,12617.387508,1556.02,-7.0,-0.4499,21674.01,3371883.024,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250403,12462.462000000001,12918.6044,12454.398054000001,12779.155152000001,1549.02,19.86,1.2821,35480.5,5557442.052,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250407,12381.089454,12518.25799,11908.5748,12218.1,1568.88,-68.88,-4.3904,101952.67,15314738.235,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250408,12323.9902,12584.643,12177.373000000001,12584.643,1500.0,45.0,3.0,73876.49,11226977.557,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250409,12421.897908,12680.75872,12385.48797,12552.387216000001,1545.0,-3.96,-0.2563,55630.04,8562928.225,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250410,12633.433946000001,12666.097,12446.1712,12617.224600000001,1541.04,7.96,0.5165,38620.21,5963650.791,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250411,12869.487638,12869.487638,12584.643,12779.969692,1549.0,19.98,1.2899,32634.23,5087359.924,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250414,12714.725038,12755.6964,12637.832462,12641.579346,1568.98,-16.99,-1.0829,21711.44,3379425.64,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250415,12641.660800000001,12747.551000000001,12584.643,12690.5332,1551.99,6.01,0.3872,21489.28,3339942.729,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250416,12641.660800000001,12837.1504,12519.479800000001,12700.063318,1558.0,1.17,0.0751,31156.05,4834880.596,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250417,12657.9516,12841.223100000001,12625.288546000002,12788.278,1559.17,10.83,0.6946,23846.05,3733924.973,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250418,12755.6964,12829.005000000001,12674.242400000001,12755.207676000002,1570.0,-4.06,-0.2586,20298.48,3179974.34,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250421,12751.6237,12751.6237,12633.5154,12633.5154,1565.94,-14.94,-0.9541,18057.03,2808158.177,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250422,12625.37,12676.686020000001,12570.062734000001,12615.59552,1551.0,-2.2,-0.1418,18432.14,2857525.967,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250423,12698.678600000001,12700.470588,12584.643,12641.660800000001,1548.8,3.2,0.2066,18668.76,2895468.892,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250424,12641.660800000001,12712.362872000002,12617.061692000001,12643.69715,1552.0,0.25,0.0161,14871.81,2313372.072,8.1454,600519,贵州茅台,贵州,白酒,20010827
600519.SH,20250425,12683.20234,12716.59848,12625.37,12625.37,1552.25,-2.25,-0.145,14764.9,2295029.705,8.1454,600519,贵州茅台,贵州,白酒,20010827
