trade_date,kdj_k,kdj_d,kdj_j
20210510,92.943,88.043,102.744
20210511,93.315,89.8,100.345
20210512,91.462,90.354,93.677
20210513,87.091,89.266,82.741
20210514,86.538,88.357,82.899
20210517,86.338,87.684,83.645
20210518,82.63,85.999,75.891
20210519,78.771,83.59,69.133
20210520,82.106,83.095,80.127
20210521,60.91,75.7,31.33
20210524,54.187,68.529,25.503
20210525,66.918,67.992,64.771
20210526,70.516,68.833,73.881
20210527,67.091,68.252,64.768
20210528,63.804,66.769,57.872
20210531,66.632,66.724,66.449
20210601,70.727,68.058,76.064
20210602,77.071,71.062,89.088
20210603,77.284,73.136,85.58
20210604,82.238,76.17,94.374
20210607,77.255,76.532,78.702
20210608,73.408,75.491,69.244
20210609,64.177,71.72,49.092
20210610,53.785,65.741,29.872
20210611,44.448,58.643,16.056
20210615,31.592,49.626,-4.475
20210616,22.696,40.649,-13.212
20210617,15.753,32.351,-17.441
20210618,12.841,25.848,-13.171
20210621,11.647,21.114,-7.286
20210622,25.906,22.711,32.294
20210623,33.706,26.376,48.364
20210624,50.513,34.422,82.695
20210625,64.69,44.511,105.047
20210628,62.874,50.632,87.357
20210629,62.263,54.509,77.771
20210630,60.956,56.658,69.552
20210701,63.984,59.1,73.752
20210702,58.031,58.744,56.605
20210705,61.498,59.662,65.172
20210706,70.937,63.42,85.971
20210707,75.331,67.39,91.211
20210708,73.75,69.51,82.229
20210709,60.931,66.651,49.493
20210712,42.531,58.611,10.371
20210713,33.855,50.359,0.848
20210714,23.785,41.501,-11.647
20210715,21.301,34.768,-5.631
20210716,19.38,29.639,-1.136
20210719,16.771,25.349,-0.385
20210720,14.514,21.738,0.067
20210721,11.494,18.323,-2.163
20210722,13.888,16.845,7.974
20210723,22.812,18.834,30.767
20210726,17.406,18.358,15.501
20210727,11.894,16.203,3.275
20210728,9.653,14.02,0.92
20210729,13.555,13.865,12.936
20210730,10.906,12.879,6.961
20210802,19.957,15.238,29.395
20210803,23.406,17.961,34.296
20210804,18.129,18.017,18.354
20210805,12.086,16.04,4.178
20210806,17.502,16.527,19.451
20210809,30.495,21.183,49.119
20210810,48.725,30.364,85.448
20210811,61.584,40.771,103.211
20210812,65.395,48.979,98.227
20210813,67.67,55.209,92.593
20210816,69.452,59.957,88.443
20210817,70.64,63.518,84.884
20210818,80.17,69.069,102.374
20210819,68.657,68.932,68.109
20210820,54.607,64.157,35.507
20210823,42.429,56.914,13.458
20210824,43.547,52.458,25.724
20210825,41.079,48.665,25.908
20210826,51.884,49.738,56.176
20210827,64.828,54.768,84.947
20210830,68.218,59.252,86.152
20210831,76.771,65.091,100.131
20210901,82.084,70.756,104.74
20210902,82.53,74.68,98.229
20210903,79.094,76.152,84.979
20210906,75.448,75.917,74.51
20210907,78.221,76.685,81.293
20210908,76.506,76.625,76.268
20210909,73.553,75.601,69.457
20210910,76.347,75.85,77.342
20210913,77.298,76.333,79.229
20210914,75.265,75.977,73.842
20210915,62.71,71.555,45.021
20210916,49.807,64.305,20.81
20210917,54.441,61.017,41.289
20210922,39.998,54.011,11.972
20210923,32.485,46.836,3.785
20210924,27.742,40.471,2.283
20210927,29.701,36.881,15.342
20210928,34.169,35.977,30.552
20210929,42.167,38.04,50.42
20210930,31.538,35.873,22.868
20211008,40.028,37.258,45.569
20211011,54.914,43.143,78.455
20211012,64.837,50.375,93.763
20211013,73.87,58.207,105.197
20211014,72.634,63.016,91.87
20211015,75.304,67.112,91.689
20211018,74.934,69.719,85.364
20211019,80.802,73.413,95.579
20211020,66.729,71.185,57.816
20211021,64.094,68.821,54.638
20211022,55.278,64.307,37.221
20211025,54.499,61.038,41.422
20211026,63.805,61.96,67.495
20211027,69.643,64.521,79.887
20211028,71.703,66.915,81.28
20211029,66.85,66.893,66.763
20211101,59.951,64.579,50.695
20211102,44.223,57.794,17.081
20211103,35.156,50.248,4.971
20211104,26.552,42.349,-5.042
20211105,18.325,34.341,-13.708
20211108,14.5,27.727,-11.956
20211109,12.333,22.596,-8.193
20211110,11.743,18.978,-2.727
20211111,17.705,18.554,16.008
20211112,23.73,20.279,30.632
20211115,30.763,23.774,44.74
20211116,32.016,26.521,43.006
20211117,27.624,26.889,29.095
20211118,19.805,24.528,10.36
20211119,25.949,25.001,27.843
20211122,28.574,26.192,33.336
20211123,32.775,28.386,41.551
20211124,30.183,28.985,32.579
20211125,24.534,27.501,18.599
20211126,17.257,24.086,3.597
20211129,13.356,20.51,-0.95
20211130,12.494,17.838,1.806
20211201,11.107,15.594,2.133
20211202,11.971,14.386,7.14
20211203,23.049,17.274,34.599
20211206,35.452,23.333,59.688
20211207,52.694,33.12,91.842
20211208,58.634,41.625,92.652
20211209,64.303,49.184,94.54
20211210,68.082,55.483,93.28
20211213,69.198,60.055,87.483
20211214,65.179,61.763,72.012
20211215,61.707,61.744,61.632
20211216,60.979,61.489,59.959
20211217,48.589,57.189,31.389
20211220,44.298,52.892,27.109
20211221,53.341,53.042,53.94
20211222,64.243,56.776,79.178
20211223,73.325,62.292,95.391
20211224,77.455,67.346,97.672
20211227,77.157,70.617,90.239
20211228,78.001,73.078,87.846
20211229,73.312,73.156,73.624
20211230,71.825,72.713,70.051
20211231,73.374,72.933,74.256
20220104,81.416,75.761,92.726
20220105,79.866,77.129,85.341
20220106,73.172,75.81,67.895
20220107,79.028,76.883,83.319
20220110,84.352,79.373,94.311
20220111,89.238,82.661,102.392
20220112,89.731,85.018,99.158
20220113,87.95,85.995,91.86
20220114,84.72,85.57,83.021
20220117,84.066,85.069,82.061
20220118,88.272,86.137,92.542
20220119,87.704,86.659,89.793
20220120,87.31,86.876,88.177
20220121,82.866,85.539,77.52
20220124,74.323,81.801,59.368
20220125,63.145,75.582,38.271
20220126,57.886,69.684,34.292
20220127,54.573,64.647,34.425
20220128,42.632,57.308,13.279
20220207,47.289,53.969,33.93
20220208,51.384,53.107,47.938
20220209,51.129,52.448,48.491
20220210,53.016,52.637,53.773
20220211,62.707,55.994,76.134
20220214,50.262,54.083,42.621
20220215,38.473,48.88,17.659
20220216,36.287,44.682,19.496
20220217,35.066,41.477,22.244
20220218,42.999,41.984,45.029
20220221,49.706,44.558,60.002
20220222,52.996,47.371,64.246
20220223,53.061,49.267,60.648
20220224,53.26,50.598,58.584
20220225,49.328,50.175,47.634
20220228,44.297,48.215,36.459
20220301,56.558,50.996,67.682
20220302,64.732,55.575,83.047
20220303,62.674,57.942,72.14
20220304,68.767,61.55,83.201
20220307,57.063,60.054,51.08
20220308,45.734,55.281,26.641
20220309,45.269,51.944,31.92
20220310,44.959,49.616,35.647
20220311,45.762,48.331,40.625
20220314,32.163,42.942,10.606
20220315,22.837,36.24,-3.968
20220316,35.07,35.85,33.509
20220317,45.55,39.084,58.484
20220318,59.728,45.965,87.254
20220321,61.926,51.285,83.207
20220322,72.272,58.281,100.254
20220323,76.49,64.35,100.768
20220324,78.966,69.222,98.454
20220325,77.435,71.96,88.385
20220328,75.13,73.017,79.357
20220329,56.914,67.649,35.444
20220330,56.417,63.905,41.44
20220331,70.586,66.132,79.494
20220401,80.391,70.885,99.402
20220406,85.609,75.793,105.241
20220407,82.311,77.965,91.001
20220408,79.159,78.363,80.752
20220411,74.36,77.029,69.023
20220412,79.768,77.942,83.42
20220413,78.45,78.111,79.127
20220414,77.839,78.02,77.476
20220415,82.921,79.654,89.455
20220418,77.261,78.856,74.071
20220419,73.971,77.228,67.458
20220420,54.145,69.534,23.368
20220421,44.792,61.287,11.804
20220422,54.016,58.863,44.322
20220425,48.511,55.412,34.708
20220426,39.111,49.979,17.377
20220427,41.599,47.186,30.427
20220428,60.712,51.694,78.746
20220429,64.371,55.92,81.273
20220505,74.338,62.059,98.896
20220506,76.172,66.763,94.988
20220509,66.91,66.812,67.106
20220510,65.037,66.221,62.67
